ลำดับ	เลขทะเบียนเดิม	FID	ชื่อโรงงาน	ประกอบกิจการ	เลขที่	หมู่	ซอย	ถนน	ตำบล	อำเภอ	จังหวัด	ไปรษณีย์	โทรศัพท์	เงินทุน	คนงาน	แรงม้า
1	จ3-58(1)-18/61รย	2.02E+13	บริษัท ซุน คอนสตรัคชั่น แอนด์ เอ็นจิเนียริ่ง จำกัด	ผลิตคอนกรึตผสมเสร็จ	911/3	5	4		นิคมพัฒนา	นิคมพัฒนา	ระยอง	21180	038-029888	5500000	10	249.1
2	จ3-40(2)-4/48รย	2.02E+13	บริษัท ซีพีพีซี จำกัด (มหาชน)	ทำผลิตภัณฑ์กระดาษ	111/1	2		ทางหลวงหมายเลข3191	นิคมพัฒนา	นิคมพัฒนา	ระยอง	21180		51000000	38	291.32
3	จ3-53(5)-30/49รย	2.02E+13	บริษัท เอ.อี.ซี พลาสติก 89 จำกัด	บดย่อยและล้างพลาสติก	64/2	4			นิคมพัฒนา	นิคมพัฒนา	ระยอง	21180		2050000	8	244
4	จ3-48(1)-2/49รย	2.02E+13	บริษัท สยามโพลียูรีเทน จำกัด	ผลิตและจำหน่ายฉนวนกันความเย็น ประเภทโฟมโพลียูรีเทรน (โฟมเหลือง)	155/1	6			นิคมพัฒนา	นิคมพัฒนา	ระยอง	21180	038-637790	25000000	34	105.2
5	3-53(8)-1/48รย	1.02E+13	บริษัท ซีพีพีซี จำกัด (มหาชน)	เคลือบและประกบพลาสติก	111/2	2	-	ทางหลวงหมายเลข 3191	นิคมพัฒนา	นิคมพัฒนา	ระยอง	21180	038-897103-8	53000000	21	1957.3
6	จ3-64(13)-3/44รย	2.02E+13	บริษัท แสงตะวันแมชชีนเนอรี่ จำกัด	กลึงและเชื่อมโลหะ	358	1	-	ทางหลวงหมายเลข 3375	นิคมพัฒนา	นิคมพัฒนา	ระยอง	21180		8000000	30	493
7	จ3-105-77/52รย	2.02E+13	บริษัท กรีนเวสท์โกลเวอร์ไลท์ แมเนจเม้นท์ จำกัด	คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย	167	6			นิคมพัฒนา	นิคมพัฒนา	ระยอง	21180		1750000	8	90
8	3-106-11/56รย	1.02E+13	บริษัท กรีนเวสท์โกลเวอร์ไลท์ แมนเนจเม้นท์ จำกัด	ซ่อมและล้างถังบรรจุภัณฑ์ด้วยตัวทำละลาย นำสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วทั้งในสภาพของแข็งและของเหลวมาผลิตเชื้อเพลิงผสม (Blending) นำน้ำมันใช้แล้วและตัวทำละลายใช้แล้วมาผลิตเชื้อเพลิงทดแทน	167	6	-	-	นิคมพัฒนา	นิคมพัฒนา	ระยอง	21180		1800000	20	90
9	จ3-70-21/47รย	2.02E+13	บริษัท เอสทีชี ไดคาสติ้ง (ไทยแลนด์) จำกัด	ผลิตส่วนประกอบชิ้นส่วนของเครื่องซักผ้าและเครื่องใช้ไฟฟ้า	25	5	-	-	มาบข่า	นิคมพัฒนา	ระยอง	21180	038-692102-4	332000000	135	4134.66
10	จ3-48(11)-2/39รย	2.02E+13	บริษัท วินเทอมส์ จำกัด	ผลิตฉนวนกันความร้อน	88	8		มาบข่า-ปลวกแดง	มาบข่า	นิคมพัฒนา	ระยอง	21180	038-968650-3	57388750	84	188.2
11	จ3-53(5)-10/50รย	2.02E+13	บริษัท เบรนท์วู้ด เอเซีย จำกัด	ผลิตชิ้นส่วน Cooling tower .waste water treatment	126	4			มาบข่า	นิคมพัฒนา	ระยอง	21180	038-637-410-1	66300000	28	470.96
12	3-105-50/54รย	1.02E+13	บริษัท วี.เอส.เอ. เอ็นจิเนียริ่ง จำกัด	คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อย ทำเม็ดพลาสติกเกรดบี และอัดเศษเหล็ก	-	2	-	-	มาบข่า	นิคมพัฒนา	ระยอง	21180		11500000	18	98
